Title,Genre,Descriptions
Beowulf,Animation / Action / Adventure / Fantasy,"Set against the coming of Christianity, this is the story of the last hero: in 507, a monstrous troll wreaks havoc in the mead hall of the Danish king, Hrothgar. He offers rewards for the death of Grendel, so Beowulf, a great and boastful Geat warrior, arrives with his thanes. Beowulf sets aside his armor and awaits the monster; a fierce battle ensues that leads to Beowolf's entering the watery lair of Grendel's mother, where a devil's bargain awaits. Beowulf returns to Herot, the castle, and becomes king. Jump ahead many years, and the sins of the father are visited upon Beowulf and his kingdom. The hero must face his weakness and be heroic once again. Is the age of demons over? - IMDb"
Anger Management,Comedy,"Mild-mannered timid businessman Dave Buznik works for a pet clothing company out of New York City. He's got an abrasive boss named Mr. Frank Head who frequently takes credit for his work and steps on him in return. He's got a loving girlfriend, Linda, whose best friend is her condescending college ex, Andrew. But when a misunderstanding aboard an airplane goes haywire, Dave is ordered by the court to undergo anger management therapy at the hands of specialist Dr. Buddy Rydell, who is an unpredictable, psychopathic character. As the relationship between Dave and Buddy becomes more tense, when the unorthodox treatment wreaks havoc Dave's life, and Buddy might be the only one who can save him from a problem he recognizes right away in his patient, that could only get worse. - IMDb"
Ford v Ferrari,Action / Biography / Drama / Sport,"American car designer Carroll Shelby and driver Ken Miles battle corporate interference, the laws of physics and their own personal demons to build a revolutionary race car for Ford and challenge Ferrari at the 24 Hours of Le Mans in 1966. - IMDb"
The Shape of Water,Adventure / Drama / Fantasy / Horror / Romance / Thriller,"From master storyteller Guillermo del Toro comes THE SHAPE OF WATER, an otherworldly fable set against the backdrop of Cold War era America circa 1962. In the hidden high-security government laboratory where she works, lonely Elisa (Sally Hawkins) is trapped in a life of isolation. Elisa's life is changed forever when she and co-worker Zelda (Octavia Spencer) discover a secret classified experiment. Rounding out the cast are Michael Shannon, Richard Jenkins, Michael Stuhlbarg, and Doug Jones. - IMDb"
Rocketman,Biography / Drama / Music / Musical,A musical fantasy about the fantastical human story of Elton John's breakthrough years. - IMDb
The Intern,Comedy / Drama,"A retired 70-year-old widower, Ben (played by Robert De Niro), is bored with retired life. He applies to a be a senior intern at an online fashion retailer and gets the position. The founder of the company is Jules Ostin (Anne Hathaway), a tireless, driven, demanding, dynamic workaholic. Ben is made her intern, but this is a nominal role - she doesn't intend to give him work and it is just window dressing. However, Ben proves to be quite useful and, more than that, a source of support and wisdom. - IMDb"
Tenki no ko,Animation / Drama / Fantasy / Romance,A high-school boy who has run away to Tokyo befriends a girl who appears to be able to manipulate the weather. - IMDb
Gangs of New York,Crime / Drama / History,"Having seen his father killed in a major gang fight in New York, young Amsterdam Vallon is spirited away for his own safety. Some years later, he returns to the scene of his father's death, the notorious Five Points district in New York. It's 1863 and lower Manhattan is run by gangs, the most powerful of which is the Natives, headed by Bill ""The Butcher"" Cutting. He believes that America should belong to native-born Americans and opposes the waves of immigrants, mostly Irish, entering the city. It's also the time of the Civil War and forced conscription leads to the worst riots in US history. Amid the violence and corruption, young Vallon tries to establish himself in the area and also seek revenge over his father's death. - IMDb"
Xi you ji zhi: Sun Wukong san da Baigu Jing,Action / Adventure / Fantasy,"When a travelling monk is stranded in a wasteland, The Monkey King must escort him across the land to retrieve sacred scriptures and protect him from an evil demon. - IMDb"
The Equalizer,Action / Crime / Thriller,"In The Equalizer, Denzel Washington plays McCall, a man who believes he has put his mysterious past behind him and dedicated himself to beginning a new, quiet life. But when McCall meets Teri (Chloë Grace Moretz), a young girl under the control of ultra-violent Russian gangsters, he can't stand idly by - he has to help her. Armed with hidden skills that allow him to serve vengeance against anyone who would brutalize the helpless, McCall comes out of his self-imposed retirement and finds his desire for justice reawakened. If someone has a problem, if the odds are stacked against them, if they have nowhere else to turn, McCall will help. He is The Equalizer. - IMDb"
The Lego Movie 2: The Second Part,Animation / Action / Adventure / Comedy / Family / Fantasy / Musical,"It's been five years since everything was awesome and the citizens are facing a huge new threat: Lego Duplo invaders from outer space, wrecking everything faster than they can rebuild. - IMDb"
The Addams Family,Comedy / Fantasy,The Addams step out of Charles Addams' cartoons. They live with all of the trappings of the macabre (including a detached hand for a servant) and are quite wealthy. Added to this mix is a crooked accountant and his loan shark and a plot to slip in the shark's son into the family as their long lost Uncle Fester. Can the false Fester find his way into the vault before he is discovered? - IMDb
The Equalizer 3,Action / Crime / Thriller,"Robert McCall finds himself at home in Southern Italy but he discovers his friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia. - IMDb"
Cheaper by the Dozen,Comedy / Family,"The Bakers, a family of 14, move from small-town Illinois to the big city after Tom Baker gets his dream job to coach his alma mater's football team. Meanwhile, his wife also gets her dream of getting her book published. While she's away promoting the book, Tom has a hard time keeping the house in order while at the same time coaching his football team, as the once happy family starts falling apart. - IMDb"
